version	doi	noresp	month	day	age	q01	q02	q03	q04a	q04b	q04c	q04d	q04e	q04f	q04g	q04h	q04i	q05a	q05b	q05c	q05d	q05e	q05f	q05g	q05h	q05i	q06a	q06b	q06c	q06d	q06e	q06f	q06g	q06h	q07	q08	q08a	q08b	q08c	q08d	q08e	q08f	q08g	q09	q10a	q10b	q11	q12a	q12b	q12d1	q12d2	q12d3	q12d4	q12d5	q12d6	q13a	q13b	q14a	q14b	q15a	q15b	q15c	q15d	q15e	q15f	q16a	q16b	q16c	q16d	q16e	q16f	q17a	q17b	q17c	q17d	q17e	q17f	q18	q21	q22a	q22b	q22c	q22d	f1	f2	f3	f4	f5	d02	d03	d04	d05	d06	d07a	d08	d09	d11	d14	d15	d16	d19	d20	c1	c2	c3	c4	gew	gew_roh	intnr	intsex
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	384	11	12	3	2	2	3	3	3	4	4	2	4	2	4	2	2	2	2	5	3	3	2	2	2	4	3	1	2	3	1	2	4	1	1	4	2	1	5	1	3	1	2	1	6	2	4	6				1			4	1	5	5	5	0	0	4	5	8	3	3	0	4	6	10	5	7	10	4	5	3	4	2	5	5			3	4		88	88	1	2	4	2	6			4	1	1	5	2	4	1	1	2	2		0.8315250425176105	0.78408	11	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	385	11	12	3	2	2	3	3	2	3	3	1	2	2	88	2	2	2	2	5	5	4	2	2	1	4	4	1	2	4	1	2	4	1	1	5	2	1	4	1	4	1	2	1	1	3	4	1		1					4	1	5	5	10	3	0	6	8	8	9	5	0	8	7	8	3	7	10	4	4	3	4	2	1		1	2	3	4		77	77	2	1	1	2	1	1	2	9	2	1	5	2	1	3	2			1	1.5564051530441347	1.4676	11	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	386	11	25	5	2	3	3	3	3	3	3	1	3	3	3	3	4	3	2	3	2	4	3	2	3	3	4	2	2	3	1	1	4	3	2	3	3	3	3	1	5	2	2	5		3	4	77				1			4	77	4	5	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	5	2	5	5			3	4		88	88	2	1	4	1	1	1	1	15	3	1	5	1	3	1	2			1	0.3923888706911487	0.32469	43	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	387	11	29	5	2	2	2	3	4	3	4	2	2	3	2	2	2	3	3	3	2	3	3	3	4	3	4	1	1	1	1	1	3	1	2	3	4	1	3	1	88	1	4	5		3	1								1		1	1	3	3	3	2	0	88	5	5	5	5	66	1	5	7	10	3	88	88	5	3	5	5			3	4		3	3	2	1	1	2	1	1	2	13	3	1	5	2	1	2	2			1	2.555830211799104	3.67003	43	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	388	11	29	7	3	3	3	3	3	4	3	2	2	3	4	4	2	3	3	3	2	4	88	88	88	3	3	1	2	2	1	2	3	88	2	88	88	2	2	4	2	2	88	5		2	4	2				1			4	2	5	5	5	7	3	7	88	7	7	2	2	6	88	7	4	8	9	5	88	5	5	2	5	1	2	3	2	4		88	3	2	2	2	2	7			15	1	1	5	2	2	1	1	1	2		0.6472613498619697	0.61033	65	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	389	11	29	5	3	3	3	3	2	4	3	2	4	2	2	2	2	2	3	3	2	2	4	3	4	2	2	2	2	2	2	2	3	2	2	3	3	2	2	2	3	2	3	5		2	4	2				1			1		3	3	3	5	2	2	3	1	3	8	3	2	3	0	3	5	7	2	5	1	5	2	5	5			3	4		4	2	2	1	1	1	1	1	2	18	1	1	5	2	5	2	2			1	0.41825472084292475	0.39439	399	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	390	11	27	5	2	2	1	3	3	3	4	5	4	3	5	3	1	5	3	1	5	5	5	3	4	3	4	1	1	3	1	1	4	2	2	3	5	1	5	1	77	1	3	5		4	4	2	1						4	2	5	5	1	9	1	3	7	1	4	9	0	5	4	4	5	6	10	4	6	5	5	1	1		2	2	4					2	1	1	2	2	1	2	17	3	1	5	2	1	2	2			1	0.8346641534831397	0.78704	63	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	391	10	24	6	3	3	2	3	4	4	3	3	2	2	4	2	1	2	4	2	1	2	5	4	5	2	2	1	2	2	1	1	2	3	2	2	1	2	4	1	3	1	2	5		3	4	1				1			4	1	5	5	7	5	5	1	3	2	7	6	5	1	4	2	5	7	5	1	7	2	5	1	5	1	1	2	3	4		3	3	2	1	1	1	7			8	3	1	5	2	1	2	1	2	2		1.3603697942677595	1.28275	54	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	392	11	25	6	3	3	2	3	2	3	4	4	2	3	3	3	2	3	3	3	2	2	3	3	3	3	3	1	1	2	1	2	3	2	2	4	1	2	4	2	4	1	3	5		3	1								1		2	1	3	4	2	2	3	2	3	5	3	2	2	3	5	6	8	4	6	4	5	2	5	5			3	4		3	3	1	1	1	2	7			11	2	1	5	2	4	2	2			1	2.555830211799104	3.02271	13	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	393	10	31	5	1	1	1	3	3	3	3	1	1	3	5	3	4	1	3	3	3	3	4	4	3	2	3	1	3	1	1	2	3	1	1	3	2	3	3	1	5	1	3	88		2	4	1				1			4	2	3	3	7	4	4	3	5	7	8	5	4	7	5	8	3	4	9	5	6	5	5	3	1		1	3	3	4		3	3	1	1	1	1	1	1	2	77	4	1	5	2	2	2	1	2	2		0.8129979247582203	0.76661	37	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	394	11	29	7	3	3	2	3	3	2	4	3	3	4	4	4	2	2	3	3	3	3	3	3	3	2	2	1	2	2	1	1	3	2	2	3	3	3	2	2	3	2	3	1	2	3	4	2				1			4	3	3	4	3	8	5	1	4	0	2	9	5	1	5	0	3	5	7	2	5	0	5	2	5	1	2	3	3	2		4	2	2	1	1	2	7			17	3	1	5	2	2	2	1	2	2		0.9420302325879286	0.88828	399	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	395	10	21	5	3	3	4	3	2	4	3	2	2	2	3	2	1	2	4	3	2	2	4	3	3	3	3	1	1	1	1	1	2	1	2	2	2	2	3	3	3	3	4	5		4	4	3				1			4	3	4	4	5	6	9	2	4	2	2	6	8	2	4	2	2	6	6	2	6	1	5	3	5	1	3	3	3	2		4	3	2	1	1	2	10			12	1	1	5	2	5	2	1	2	2		1.023891035097793	0.96547	13	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	396	11	9	7	2	2	2	3	3	2	3	2	2	3	2	2	2	3	3	3	2	2	3	3	4	3	3	1	2	2	1	2	3	3	3	3	3	3	2	3	2	2	3	1	2	2	4	2				1			4	4	4	4	1	10	5	2	5	0	2	9	4	1	5	0	3	6	9	1	7	0	5	2	1		2	2	2	2		4	1	2	2	4	2	7			14	3	1	5	2	2	1	1	2	2		0.48663643538931733	0.45887	399	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	397	10	28	6	3	3	2	3	4	4	3	4	3	2	3	3	2	3	4	3	2	4	4	3	4	4	4	1	3	3	1	2	3	4	2	4	2	2	5	1	3	1	2	1	1	3	4	1			1				4	1	5	5	9	4	2	4	4	5	8	5	1	4	5	4	5	7	9	3	7	4	5	2	1		1	2	3	4		1	2	1	1	1	2	7			7	3	1	5	2	3	2	1	2	2		0.8718668604665059	0.82212	51	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	398	11	4	6	2	2	1	3	1	4	2	3	1	2	2	2	1	2	4	2	2	2	3	4	4	2	3	1	2	2	1	1	3	2	3	2	2	2	2	3	2	3	3	5		3	4	3				1			4	1	4	5	5	3	7	2	2	2	6	4	7	3	3	2	5	6	5	2	4	2	5	1	5	1	3	3	3	4		3	3	1	1	1	1	1	4	1	13	3	1	5	2	5	2	2			1	0.6711016250326103	0.63281	211	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	399	11	25	4	3	3	2	3	1	4	2	2	1	2	3	2	2	2	3	2	2	3	4	4	5	2	2	1	2	1	1	1	2	2	3	3	3	3	2	1	1	2	4	1	3	3	4	3				1			4	3	4	4	5	3	8	3	3	3	4	3	7	2	2	3	3	4	6	1	4	1	5	1	5	1	3	2	2	4		3	2	2	1	1	2	2	2	2	10	1	1	5	2	1	3	2			1	1.8530935597050961	1.74736	211	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	400	11	22	7	3	3	3	3	4	2	4	5	4	4	4	4	4	4	2	4	4	5	3	4	4	3	4	3	3	2	1	2	4	3	3	4	4	3	2	1	2	2	2	1	2	3	4	2				1			4	2	4	4	4	7	4	3	5	3	5	7	4	3	5	3	3	5	7	2	5	2	5	1	5	1	2	3	3	4		3	2	1	1	1	2	7			8	2	1	5	2	5	2	2			1	0.8887607921154518	0.83805	211	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	401	11	12	5	3	3	3	3	1	4	2	2	2	4	2	2	2	2	3	3	2	2	4	3	4	3	3	2	3	3	1	2	3	2	2	2	3	2	2	2	4	1	3	5		3	1								2		2	2	2	3	4	0	6	0	1	4	2	0	5	1	2	5	8	1	6	0	5	3	5	5			4					1	3	3	2	1	5	2	16	1	1	5	2	1	1	1	2	1		2.1966459236521167	2.07131	399	2
