version	doi	age	SEX	POP	YL	YAF	YS	YR	Y	TGYL	TGYS	TGYA	TGC	TGO	YN	TGSOAIC	TGSDIC	TGSFIC	TGSUIC	TGSXIC	TGXIC	TFB	TGIC	YD	TFW	TFWI	TFWO	YDF	CGH	CGE	CGS	CGX	CG	YDFA	YDA	CF	SF	YAG	TGNF	SG	PH	PHHW	PHCC	CH	CHHW	CHCC	THOHW	THIHW	THOCC	THICC	THO	THI	PHM	PHHWM	PHCCM	CHHWM	CHCCM	THOHWM	THIHWM	THOCCM	THICCM	THOM	THIM
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	24.0	2.0	56682.5	17515.63	1148.172	145.0591	533.9011	19342.764	5969.3813	22.08118	330.918	4139.704	10462.085	8880.679	74.56437	189.7926	1132.204	640.0887	21.95913	278.167	12.119109	2336.776	11217.455	2705.746	4770.4497	2064.7036	13935.32	1307.384	1960.411	471.1401	2571.9578	6310.893	20246.213	13177.866	15552.07	-1616.7505	-228.7439	-251.2599	134.1605	169.65353	136.10718	33.54636	129.18549	129.18549	0.0	42.152092	35.230404	33.54636	0.0	75.69845	35.230404	15382.446	12660.281	2722.1655	12016.447	0.0	3920.8608	3277.0264	2722.1655	0.0	6643.0264	3277.0264
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	25.0	2.0	56632.0	18699.89	1201.05	228.0565	646.7586	20775.756	6571.209	42.38595	346.158	4237.57	11197.322	9578.434	76.96177	238.6657	1354.559	707.3456	21.95913	342.0938	14.904256	2741.585	12320.019	1905.8167	4335.834	2430.0173	14240.739	1659.975	1686.64	498.4585	2571.9575	6417.032	20657.771	14006.658	15864.14	-1623.4008	-244.8192	-268.9175	143.5888	191.93393	143.49649	48.437435	126.79209	126.79208	0.0	47.273605	30.569204	48.437435	0.0	95.711044	30.569204	17278.135	13347.613	3930.5225	11793.82	0.0	4397.249	2843.4556	3930.5225	0.0	8327.771	2843.4556
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	26.0	2.0	57179.0	19872.31	1042.038	290.6105	749.8785	21954.838	7195.0166	61.56671	300.3288	4314.156	11871.068	10083.77	60.63835	247.9374	1691.524	754.7548	21.95913	362.4424	15.790794	3139.256	13223.025	1384.1956	4182.309	2798.1135	14623.012	1657.033	1440.323	508.7048	2571.9573	6178.019	20801.031	14663.349	16202.25	-1579.2374	-259.55	-285.0983	152.2286	213.92862	151.47156	62.457054	124.02096	124.02095	0.0	53.013992	25.563393	62.457054	0.0	115.47105	25.563393	19157.594	14089.43	5068.1636	11536.058	0.0	4931.2026	2377.83	5068.1636	0.0	9999.366	2377.83
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	27.0	2.0	57059.0	20884.09	765.1953	393.7803	860.0247	22903.09	7735.831	78.15141	220.5391	4380.215	12414.736	10488.354	39.28305	253.7024	2017.841	789.5673	21.95913	334.9957	14.595007	3457.349	13945.703	960.1792	4122.0693	3161.8901	14920.478	1660.826	1187.009	528.606	2571.958	5948.398	20868.875	15132.712	16467.15	-1546.6733	-271.4368	-298.1552	159.2003	234.36609	159.09233	75.27376	119.92654	119.92654	0.0	60.562008	21.39621	75.27376	0.0	135.83577	21.39621	20906.484	14798.292	6108.1924	11155.207	0.0	5633.2964	1990.2112	6108.1924	0.0	11741.488	1990.2112
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	28.0	2.0	56712.0	21233.87	310.6094	449.4234	972.8147	22966.717	7996.133	104.97519	89.52161	4441.097	12631.727	10334.99	23.60682	250.933	2422.287	839.5342	21.95913	381.7643	16.63261	3940.085	14275.075	719.8345	4262.9233	3543.0889	15011.542	1657.949	1012.29	546.0609	2571.958	5788.258	20799.8	15287.365	16805.39	-1793.8486	-276.1811	-303.3665	161.9829	251.36542	166.10172	85.263695	116.42918	116.42918	1.1386211E-16	66.244316	16.571774	85.263695	1.1386211E-16	151.50801	16.571774	22369.123	15450.283	6918.84	10829.894	9.239498E-15	6161.8477	1541.4565	6918.84	9.239498E-15	13080.6875	1541.4565
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	29.0	2.0	57000.5	21318.1	-3.201117	593.994	1076.05	22984.943	8132.052	195.17412	0.0	4504.632	12831.857	10153.086	29.17969	250.9508	2862.357	904.9963	21.95913	397.6561	17.324976	4467.099	14620.186	540.70874	4477.302	3936.593	15178.219	1657.229	872.8708	571.8323	2571.9578	5673.889	20852.107	15493.057	17160.87	-1982.6515	-280.5568	-308.1729	164.5493	268.71753	172.88867	95.828865	112.18698	112.18697	1.1368089E-16	74.18819	13.4864855	95.828865	1.1368089E-16	170.01706	13.4864855	23857.752	16081.586	7776.165	10435.297	9.224792E-15	6900.7627	1254.4724	7776.165	9.224792E-15	14676.928	1254.4724
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	30.0	2.0	56813.0	21055.38	407.4795	626.3686	1171.472	23260.701	8081.57	191.91501	-67.40326	4530.906	12736.987	10523.714	31.62855	275.0609	3288.752	931.5568	21.95913	412.7271	17.98159	4961.684	15485.398	382.50488	4722.624	4340.119	15885.885	1817.745	749.7435	604.8004	2571.9575	5744.247	21630.133	16235.142	17356.48	-1470.5962	-278.4825	-305.8944	163.3327	296.63995	180.49515	116.1448	111.47301	111.473	1.1434717E-16	82.395035	13.372892	116.1448	1.1434717E-16	198.53983	13.372892	26213.846	16789.117	9424.729	10368.885	9.278859E-15	7664.1387	1243.9064	9424.729	9.278859E-15	17088.867	1243.9064
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	31.0	2.0	58072.0	20807.24	702.3953	670.9264	1264.025	23444.588	8012.245	169.6105	-100.7575	4559.233	12640.331	10804.257	40.1771	270.952	3617.147	959.2244	21.95913	412.7271	17.98159	5322.187	16126.443	191.67334	4966.0376	4774.3643	16336.099	1813.484	666.006	627.7026	2571.9573	5679.151	22015.25	16792.45	17515.77	-1179.6718	-276.3692	-303.5731	162.0932	301.77853	187.90038	113.878174	111.62997	111.62996	1.133896E-16	91.63644	15.366034	113.878174	1.133896E-16	205.51462	15.366034	26718.73	17477.93	9240.802	10383.484	9.2011554E-15	8523.746	1429.3022	9240.802	9.2011554E-15	17764.549	1429.3022
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	32.0	2.0	57959.0	20887.69	350.489	777.4802	1357.858	23373.518	8078.761	264.58804	-41.0458	4569.393	12871.696	10501.821	47.79292	266.2729	3933.662	990.0776	21.95913	412.7271	17.98159	5672.492	16174.313	-42.964844	5204.2964	5247.261	16149.33	1813.57	608.5969	655.5203	2571.9578	5649.645	21798.975	16782.91	17600.7	-1451.37	-281.4278	-309.1296	165.0601	306.45676	197.52164	108.93512	113.38496	113.38496	1.1340865E-16	98.58924	14.452562	108.93512	1.1340865E-16	207.52435	14.452562	27212.56	18372.871	8839.69	10546.7295	9.2027E-15	9170.476	1344.334	8839.69	9.2027E-15	18010.166	1344.334
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	33.0	2.0	59957.0	21028.81	-1028.17	877.5159	1453.16	22331.316	8110.2617	269.64758	0.0	4581.144	12961.054	9370.263	59.93819	271.5492	4210.839	962.3184	21.95913	412.7271	17.98159	5939.331	15309.594	-340.31445	5391.217	5731.5312	14987.261	1810.715	542.0403	687.0294	2571.9575	5611.742	20599.004	15851.634	17683.76	-2696.4983	-283.3815	-311.2757	166.206	315.0713	205.54414	109.52715	115.71039	115.71038	1.1277324E-16	105.79277	15.959021	109.52715	1.1277324E-16	215.31993	15.959021	28006.832	19119.1	8887.731	10763.033	9.15114E-15	9840.526	1484.4602	8887.731	9.15114E-15	18728.258	1484.4602
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	34.0	2.0	59526.5	20964.96	-579.6642	1058.765	1552.198	22996.26	8052.258	420.5072	0.0	4577.231	13049.996	9946.264	55.64331	273.752	4383.634	929.2587	21.95913	412.7271	17.98159	6076.974	16023.238	-665.3999	5555.4575	6220.8574	15375.82	1811.858	482.0809	715.4752	2571.958	5581.372	20957.191	16505.318	17715.92	-2340.1006	-285.3262	-313.4117	167.3465	321.86856	215.21062	106.65794	119.52064	119.52063	1.1302702E-16	109.85436	14.164373	106.65794	1.1302702E-16	216.51231	14.164373	28673.15	20018.246	8654.905	11117.451	9.171733E-15	10218.323	1317.5276	8654.905	9.171733E-15	18873.229	1317.5276
