focal0	Venus0	treatment	plate	focal96	venus96	focal_f	venus_f	r_f	r_v	w_ma	r_anc	w_anc	stma	stanc	s	st	rel	rel_unscaled	line	line2	gen	anc	rep	type	genic	exonic	intronic	intergenic	utr5	utr3	fold0	fold4	fold2	fold3	CDS	nonsynonymous	nonsense	SNP	indel
300	354	0	B	6829	16506	68290	165060	0.056538918	0.064007994	-0.007469076	0.056552875	-0.007455119	-0.091545633	-0.091374569	1.40E-05	0.000171064	0.999828936	0.999986	1952L14	1952L14	1084.652422	1952	1	ma	21	11	10	4	2	3	3	1	2	0	6	4	0	21	4
246	116	0	D	18965	14574	189650	145740	0.069245875	0.074333222	-0.005087347	0.061729096	-0.012604126	-0.057125089	-0.141529929	-0.007516779	-0.08440484	1.08440484	1.007516779	1952L15	1952L15	1049.141229	1952	1	ma	27	15	12	4	1	5	7	1	1	0	9	6	1	22	9
166	1095	0	C	9015	46510	90150	465100	0.065596275	0.063036438	0.002559837	0.055860192	-0.007176246	0.031764013	-0.08904722	-0.009736083	-0.120811233	1.120811233	1.009736083	1952L2	1952L2	1082.900304	1952	1	ma	41	17	24	4	1	8	6	1	1	0	8	5	1	36	9
1081	369	0	B	8246	7661	82460	76610	0.045150279	0.055580065	-0.010429786	0.056552875	0.00097281	-0.12783394	0.011923364	0.011402596	0.139757304	0.860242696	0.988597404	1952L3	1952L3	1077.265533	1952	1	ma	34	25	9	1	2	6	11	3	3	0	17	13	1	31	4
129	630	0	C	1015	52894	10150	528940	0.045473089	0.070134484	-0.024661395	0.055860192	-0.014274292	-0.306013558	-0.177124081	0.010387103	0.128889477	0.871110523	0.989612897	1952L4	1952L4	953.5124537	1952	1	ma	3	3	0	0	0	0	2	0	1	0	3	3	0	3	0
54	734	0	C	469	48771	4690	487710	0.046502123	0.067697575	-0.021195452	0.055860192	-0.011837383	-0.263006039	-0.146885437	0.009358069	0.116120602	0.883879398	0.990641931	1952L5	1952L5	702.9989955	1952	1	ma	19	16	3	2	0	1	8	4	2	1	15	9	0	20	1
1084	258	0	D	12872	6992	128720	69920	0.049760225	0.058355702	-0.008595477	0.061729096	0.003373393	-0.096517384	0.037879352	0.011968871	0.134396736	0.865603264	0.988031129	1952L6	1952L6	1063.92499	1952	1	ma	43	23	20	3	4	7	7	3	2	0	12	8	0	42	4
206	241	0	B	9159	30806	91590	308060	0.063512513	0.074513051	-0.011000539	0.056552875	-0.017960176	-0.134829437	-0.220131079	-0.006959638	-0.085301642	1.085301642	1.006959638	1952L7	1952L7	1048.043857	1952	1	ma	34	21	13	2	0	4	7	6	4	0	17	6	0	29	7
112	659	0	B	1026	58244	10260	582440	0.047057388	0.070669353	-0.023611965	0.056552875	-0.014116478	-0.28940292	-0.173020329	0.009495487	0.116382591	0.883617409	0.990504513	1952L8	1952L8	1000.174209	1952	1	ma	37	24	13	7	2	7	8	3	3	1	15	10	2	41	3
680	150	0	A	24275	14961	242750	149610	0.061225985	0.071928666	-0.01070268	0.060392457	-0.011536209	-0.122838729	-0.132405452	-0.000833528	-0.009566722	1.009566722	1.000833528	2342anc	2342_1	0	2342	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
972	146	0	A	32852	6844	328520	68440	0.060656221	0.064063605	-0.003407385	0.060392457	-0.003671148	-0.039107847	-0.042135165	-0.000263764	-0.003027319	1.003027319	1.000263764	2342anc	2342_2	0	2342	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1151	279	0	A	34137	7640	341370	76400	0.059295165	0.058463815	0.00083135	0.060392457	0.001928642	0.009541721	0.022135762	0.001097292	0.012594041	0.987405959	0.998902708	2342anc	2342_3	0	2342	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1262	591	0	B	28521	5109	285210	51090	0.056463833	0.046453417	0.010010416	0.056463833	0.010010416	0.122887365	0.122887365	0	0	1	1	2342anc	2342_4	0	2342	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
732	1594	0	C	21633	9164	216330	91640	0.059258123	0.042204388	0.017053735	0.059258123	0.017053735	0.199478948	0.199478948	0	0	1	1	2342anc	2342_5	0	2342	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
426	150	0	D	12697	5645	126970	56450	0.059346529	0.061775784	-0.002429255	0.059346529	-0.002429255	-0.028372871	-0.028372871	0	0	1	1	2342anc	2342_6	0	2342	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
252	230	0	D	2288	27306	22880	273060	0.046964473	0.073743412	-0.026778939	0.059346529	-0.014396883	-0.31276886	-0.168150672	0.012382056	0.144618188	0.855381812	0.987617944	2342L1	2342L1	1108.704281	2342	1	ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
518	1752	0	C	12811	31895	128110	318950	0.057402805	0.054211212	0.003191593	0.059258123	0.005046911	0.037332331	0.059034133	0.001855318	0.021701803	0.978298197	0.998144682	2342L10	2342L10	1130.380421	2342	1	ma	62	43	19	5	4	15	13	9	3	0	25	13	0	61	6
1264	466	0	B	34098	8204	340980	82040	0.058307735	0.053862256	0.004445479	0.056463833	0.002601577	0.054572473	0.031936831	-0.001843902	-0.022635642	1.022635642	1.001843902	2342L11	2342L11	1108.913665	2342	1	ma	65	47	18	7	3	22	18	2	2	0	22	18	1	65	7
130	601	0	C	296	44188	2960	441880	0.032556355	0.06875207	-0.036195715	0.059258123	-0.009493947	-0.423384278	-0.111051486	0.026701768	0.312332792	0.687667208	0.973298232	2342L12	2342L12	825.6364913	2342	1	ma	38	34	4	1	4	5	12	6	7	0	25	14	1	37	2
92	187	0	D	483	28349	4830	283490	0.041258471	0.076289828	-0.035031358	0.059346529	-0.016943299	-0.409154289	-0.197891947	0.018088058	0.211262342	0.788737658	0.981911942	2342L14	2342L14	1091.379213	2342	1	ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	492	0	C	179	61271	1790	612710	0.034067325	0.074241337	-0.040174012	0.059258123	-0.014983214	-0.469918748	-0.175259894	0.025190798	0.294658854	0.705341146	0.974809202	2342L15	2342L15	1121.580331	2342	1	ma	63	38	25	6	5	12	16	4	1	0	21	15	0	60	9
979	566	0	B	8356	18616	83560	186160	0.046320714	0.06037258	-0.014051866	0.056463833	-0.003908747	-0.172500003	-0.047983584	0.010143119	0.124516418	0.875483582	0.989856881	2342L3	2342L3	1048.069541	2342	1	ma	126	84	42	13	5	36	26	10	7	0	43	29	4	128	11
1108	142	0	D	37679	14036	376790	140360	0.060720119	0.071834779	-0.01111466	0.059346529	-0.01248825	-0.129815431	-0.145858493	-0.00137359	-0.016043062	1.016043062	1.00137359	2342L4	2342L4	1093.286453	2342	1	ma	152	92	60	9	7	31	33	15	6	0	54	37	1	152	9
1212	1155	0	C	24993	10877	249930	108770	0.055509469	0.047345159	0.00816431	0.059258123	0.011912964	0.095498614	0.139346932	0.003748654	0.043848318	0.956151682	0.996251346	2342L5	2342L5	1120.561999	2342	1	ma	93	56	37	13	12	17	15	4	8	0	27	16	1	98	8
2018	203	0	A	11826	11537	118260	115370	0.042403945	0.066069726	-0.023665781	0.060392457	-0.005677269	-0.271621164	-0.065160171	0.017988512	0.206460994	0.793539006	0.982011488	2342L7	2342L7	1126.120418	2342	1	ma	60	40	20	5	5	15	13	4	3	0	20	15	1	63	2
