version	doi	court_source	court_target	year_target	nr_citations
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"GER"	"ECHR"	"2014"	12.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"GER"	"ECHR"	"2015"	11.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"GER"	"ECHR"	"2016"	17.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HRV"	"ECHR"	"2001"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HRV"	"ECHR"	"2005"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HRV"	"ECHR"	"2006"	9.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HRV"	"ECHR"	"2007"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HRV"	"ECHR"	"2010"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HRV"	"ECHR"	"2011"	20.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HRV"	"ECHR"	"2012"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HRV"	"ECHR"	"2013"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HRV"	"ECHR"	"2015"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HRV"	"ECHR"	"2016"	11.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HUN"	"ECHR"	"2006"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HUN"	"ECHR"	"2007"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HUN"	"ECHR"	"2008"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HUN"	"ECHR"	"2009"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HUN"	"ECHR"	"2011"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HUN"	"ECHR"	"2012"	8.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HUN"	"ECHR"	"2013"	20.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HUN"	"ECHR"	"2014"	14.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HUN"	"ECHR"	"2015"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HUN"	"ECHR"	"2016"	39.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"1980"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"1990"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"1991"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"1994"	2.0
