Time	source_rate (Background-subtracted)	error_on_source_rate	Background_rate	Error_on_background_rate
660782170.57613	0.49366475725829284	0.054083269131959835	0.01633524274170714	0.019364916731037084
660782370.57613	0.5447537734410733	0.056124860801609125	0.015246226558926665	0.01870828693386971
660782570.57613	0.49648672489273193	0.054772255750516606	0.018513275107268093	0.0206155281280883
660782770.57613	0.5714867248927319	0.05809475019311125	0.018513275107268093	0.0206155281280883
660782970.57613	0.46802082198941475	0.051720402163943	0.011979178010585236	0.016583123951777
660783170.57613	0.5232196763443905	0.05678908345800274	0.021780323655609522	0.022360679774997897
660783370.57613	0.5969318058066343	0.057879184513951125	0.013068194193365712	0.017320508075688773
660783570.57613	0.5647537734410732	0.057008771254956896	0.015246226558926665	0.01870828693386971
660784770.57613	0.5038636116132686	0.0570087712549569	0.026136388386731425	0.02449489742783178
660784970.57613	0.5519318058066343	0.05590169943749474	0.013068194193365712	0.017320508075688773
660785170.57613	0.5980208219894148	0.057662812973353975	0.011979178010585236	0.016583123951777
660785370.57613	0.5253977087099515	0.05634713834792322	0.01960229129004857	0.021213203435596423
660785570.57613	0.4908427896238538	0.05338539126015656	0.014157210376146189	0.018027756377319945
660785770.57613	0.5569318058066343	0.05612486080160912	0.013068194193365712	0.017320508075688773
660785970.57613	0.61213066016161	0.0608276253029822	0.022869339838389995	0.0229128784747792
660786170.57613	0.57213066016161	0.059160797830996155	0.022869339838389995	0.0229128784747792
660786370.57613	0.5158427896238539	0.05454356057317857	0.014157210376146189	0.018027756377319945
660786570.57613	0.5958427896238538	0.05809475019311125	0.014157210376146189	0.018027756377319945
660786770.57613	0.7047537734410733	0.06284902544988268	0.015246226558926665	0.01870828693386971
660786970.57613	0.5808427896238538	0.05744562646538028	0.014157210376146189	0.018027756377319945
660791770.57613	0.5386647572582929	0.05612486080160912	0.01633524274170714	0.019364916731037084
660791970.57613	0.45519885435497576	0.05049752469181039	0.009801145645024285	0.015
660792170.57613	0.5351988543549757	0.05431390245600108	0.009801145645024285	0.015
660792370.57613	0.5647537734410732	0.057008771254956896	0.015246226558926665	0.01870828693386971
660792570.57613	0.6136647572582928	0.05937171043518959	0.01633524274170714	0.019364916731037084
660792770.57613	0.526486724892732	0.05612486080160912	0.018513275107268093	0.0206155281280883
660792970.57613	0.57713066016161	0.05937171043518959	0.022869339838389995	0.0229128784747792
660793170.57613	0.5175757410755124	0.05545268253204709	0.017424258924487616	0.02
660793370.57613	0.5062878705377563	0.052678268764263694	0.008712129462243808	0.01414213562373095
660793570.57613	0.5664867248927319	0.057879184513951125	0.018513275107268093	0.0206155281280883
660793770.57613	0.5986647572582928	0.05873670062235366	0.01633524274170714	0.019364916731037084
660793970.57613	0.44648672489273195	0.05244044240850758	0.018513275107268093	0.0206155281280883
660794170.57613	0.48213066016161	0.055226805085936304	0.022869339838389995	0.0229128784747792
660794370.57613	0.6103977087099515	0.060000000000000005	0.01960229129004857	0.021213203435596423
660794570.57613	0.5530208219894147	0.05567764362830022	0.011979178010585236	0.016583123951777
