# UVOT photometry at full time resolution, using 7.0" aperture
# host-subtracted AB magnitudes, not corrected for Galactic extinction
# total counts/s as based on "CORR_RATE" from uvotsource and thus include the host contribution
# only including observations with SNR>0.5 and positive host-subtracted flux
# 
filter  MJD          ab_mag ab_mag_err count_rate count_rate_err exposure
UVW2   58653.503785    18.36     0.08    2.030    0.141    188.750 
UVW2   58658.680226    18.50     0.07    1.791    0.106    311.759 
UVW2   58662.076592    18.59     0.08    1.661    0.118    230.079 
UVW2   58663.066366    18.39     0.07    1.986    0.119    266.499 
UVW2   58666.195875    18.26     0.13    2.221    0.256     64.730 
UVW2   58666.776334    18.44     0.09    1.897    0.143    176.935 
UVW2   58667.439285    18.50     0.09    1.793    0.133    189.716 
UVW2   58668.842936    18.49     0.12    1.804    0.188     98.197 
UVW2   58670.896537    18.25     0.08    2.248    0.148    189.727 
UVW2   58672.228113    18.42     0.06    1.923    0.085    535.192 
UVW2   58673.483863    18.06     0.06    2.669    0.139    258.627 
UVW2   58675.023341    18.19     0.06    2.381    0.113    364.924 
UVW2   58676.009689    18.07     0.07    2.636    0.145    234.998 
UVW2   58678.473897    18.50     0.07    1.788    0.099    367.878 
UVW2   58678.873172    18.41     0.09    1.940    0.145    173.004 
UVW2   58679.199311    18.57     0.08    1.692    0.119    235.008 
UVW2   58681.269650    18.60     0.07    1.645    0.095    385.589 
UVW2   58681.400414    18.59     0.08    1.660    0.108    288.163 
UVW2   58682.187599    18.67     0.09    1.536    0.113    230.078 
UVW2   58684.062579    18.90     0.08    1.258    0.081    409.218 
UVW2   58684.189100    19.24     0.13    0.931    0.104    173.004 
UVW2   58688.777146    18.53     0.12    1.754    0.177    109.284 
UVW2   58690.759708    18.58     0.06    1.674    0.078    540.133 
UVW2   58691.624945    18.58     0.08    1.667    0.118    232.055 
UVW2   58696.679935    18.81     0.08    1.355    0.085    402.323 
UVW2   58696.728736    18.63     0.09    1.602    0.115    227.125 
UVW2   58697.461344    18.61     0.07    1.624    0.099    320.631 
UVW2   58699.527683    18.61     0.07    1.630    0.097    342.284 
UVW2   58699.724213    18.56     0.08    1.707    0.105    307.839 
UVW2   58700.921432    18.48     0.07    1.825    0.109    309.794 
UVW2   58702.640410    18.47     0.06    1.837    0.090    469.257 
UVW2   58702.702324    18.25     0.09    2.241    0.165    154.305 
UVW2   58703.975241    18.38     0.07    1.995    0.118    276.348 
UVW2   58705.562981    18.24     0.05    2.279    0.093    527.319 
UVW2   58706.617528    18.14     0.06    2.475    0.127    289.129 
UVW2   58708.550710    18.12     0.07    2.538    0.136    262.568 
UVW2   58709.413427    18.20     0.07    2.363    0.128    277.315 
UVW2   58711.014916    18.17     0.07    2.425    0.146    215.321 
UVW2   58712.008280    18.27     0.07    2.212    0.119    302.931 
UVW2   58716.263273    18.66     0.13    1.556    0.181     89.325 
UVW2   58716.587003    18.70     0.11    1.506    0.136    155.272 
UVW2   58716.794796    18.77     0.08    1.413    0.098    296.133 
UVW2   58721.172601    19.05     0.13    1.100    0.118    162.167 
UVW2   58730.003114    19.27     0.16    0.903    0.125    111.966 
UVW2   58732.797802    19.17     0.19    0.990    0.168     69.638 
UVW2   58733.000043    19.16     0.12    0.996    0.103    185.785 
UVW2   58733.261788    19.43     0.20    0.787    0.134     96.232 
UVW2   58740.499729    19.38     0.10    0.821    0.072    334.422 
UVW2   58807.228540    18.49     0.07    1.810    0.102    344.618 
UVW2   58975.529089    22.04     0.59    0.109    0.036    472.189 
UVW2   58982.645578    21.43     0.56    0.159    0.061    411.173 
UVM2   58383.703554    16.60     0.04    6.019    0.179    460.396 
UVM2   58383.760486    16.54     0.05    6.340    0.202    344.434 
UVM2   58389.951243    16.61     0.05    5.930    0.213    262.666 
UVM2   58393.121103    16.67     0.05    5.642    0.231    192.333 
UVM2   58395.460197    16.72     0.05    5.356    0.194    275.317 
UVM2   58395.861429    16.75     0.05    5.206    0.186    302.051 
UVM2   58395.927124    16.77     0.05    5.153    0.176    349.168 
UVM2   58395.994400    16.81     0.05    4.945    0.194    245.400 
UVM2   58396.251680    16.74     0.06    5.262    0.223    188.576 
UVM2   58397.852054    16.90     0.05    4.547    0.146    479.377 
UVM2   58397.986061    16.92     0.05    4.462    0.182    246.573 
UVM2   58398.981257    16.91     0.05    4.501    0.186    236.952 
UVM2   58399.645488    16.97     0.05    4.285    0.165    296.655 
UVM2   58399.711064    17.01     0.06    4.105    0.173    246.182 
UVM2   58399.777162    16.92     0.06    4.460    0.189    224.519 
UVM2   58399.844242    16.95     0.05    4.367    0.173    272.504 
UVM2   58401.155364    17.04     0.05    3.992    0.164    270.463 
UVM2   58401.351608    17.11     0.06    3.759    0.180    200.770 
UVM2   58403.750334    17.03     0.06    4.040    0.194    181.181 
UVM2   58404.478575    16.99     0.07    4.177    0.254    102.465 
UVM2   58404.609685    17.09     0.05    3.843    0.143    362.449 
UVM2   58404.677181    17.14     0.06    3.665    0.169    221.305 
UVM2   58406.136605    17.15     0.06    3.638    0.155    272.222 
UVM2   58408.457017    17.09     0.06    3.833    0.173    225.800 
UVM2   58409.996605    17.14     0.05    3.642    0.118    579.247 
UVM2   58412.376533    17.15     0.06    3.612    0.170    213.551 
UVM2   58413.914748    17.08     0.04    3.878    0.117    682.765 
UVM2   58415.966597    17.05     0.06    3.962    0.168    249.940 
UVM2   58416.170938    17.13     0.06    3.677    0.170    220.338 
UVM2   58417.365547    17.17     0.06    3.545    0.176    192.344 
UVM2   58417.838260    17.08     0.05    3.869    0.132    463.100 
UVM2   58417.892612    17.21     0.05    3.417    0.142    313.497 
UVM2   58418.635569    17.12     0.06    3.708    0.173    212.216 
UVM2   58420.156926    17.12     0.06    3.720    0.165    241.274 
UVM2   58421.823817    17.13     0.05    3.696    0.131    439.243 
UVM2   58421.947286    17.11     0.05    3.750    0.144    345.552 
UVM2   58423.542802    17.07     0.05    3.901    0.159    281.246 
UVM2   58425.016872    17.02     0.05    4.062    0.128    557.388 
UVM2   58425.069507    17.02     0.05    4.070    0.152    345.281 
UVM2   58426.528911    17.06     0.06    3.937    0.201    163.275 
UVM2   58427.325023    17.02     0.06    4.078    0.176    234.053 
UVM2   58428.852499    16.97     0.05    4.259    0.167    285.383 
UVM2   58429.856282    17.00     0.05    4.162    0.153    350.797 
UVM2   58430.051146    17.05     0.05    3.971    0.162    279.487 
UVM2   58431.510341    17.03     0.06    4.037    0.170    250.982 
UVM2   58434.960349    16.99     0.07    4.211    0.230    131.534 
UVM2   58439.076534    17.05     0.08    3.981    0.258     95.298 
UVM2   58440.007870    17.04     0.06    3.992    0.187    198.772 
UVM2   58441.608226    17.08     0.07    3.862    0.214    138.353 
UVM2   58443.267147    17.04     0.06    3.995    0.207    156.303 
UVM2   58445.335180    17.11     0.06    3.743    0.196    160.256 
UVM2   58447.975888    17.08     0.08    3.861    0.272     79.824 
UVM2   58449.034770    17.23     0.08    3.370    0.220    111.966 
UVM2   58451.367145    17.39     0.07    2.919    0.174    156.542 
UVM2   58455.554718    17.39     0.07    2.909    0.179    144.217 
UVM2   58459.997774    17.54     0.08    2.529    0.167    144.054 
UVM2   58464.657570    17.61     0.07    2.379    0.128    249.570 
UVM2   58467.777506    17.65     0.06    2.303    0.118    284.221 
UVM2   58470.436080    17.74     0.07    2.113    0.120    243.522 
UVM2   58473.890036    17.60     0.06    2.399    0.121    279.150 
UVM2   58475.944559    17.71     0.07    2.166    0.128    218.351 
UVM2   58476.208460    17.76     0.07    2.072    0.125    216.668 
UVM2   58476.807560    17.72     0.09    2.148    0.159    133.695 
UVM2   58479.926053    17.83     0.08    1.943    0.134    177.120 
UVM2   58482.055636    18.07     0.08    1.571    0.108    224.150 
UVM2   58485.238358    18.19     0.09    1.406    0.105    210.229 
UVM2   58491.944506    18.28     0.09    1.295    0.099    227.407 
UVM2   58562.721163    17.53     0.07    2.556    0.154    181.789 
UVM2   58562.869006    17.53     0.07    2.567    0.150    194.418 
UVM2   58573.293744    18.18     0.07    1.425    0.075    475.316 
UVM2   58576.347280    18.19     0.07    1.406    0.075    464.566 
UVM2   58578.286167    18.37     0.06    1.200    0.061    637.081 
UVM2   58578.343726    18.32     0.06    1.254    0.055    832.444 
UVM2   58578.402777    18.26     0.06    1.324    0.057    828.893 
UVM2   58578.476573    18.30     0.05    1.269    0.049   1151.511 
UVM2   58578.540807    18.35     0.05    1.219    0.044   1447.004 
UVM2   58578.602342    18.41     0.05    1.148    0.043   1493.404 
UVM2   58578.619509    18.34     0.07    1.233    0.072    440.676 
UVM2   58578.670447    18.32     0.05    1.255    0.048   1248.384 
UVM2   58578.741517    18.33     0.06    1.240    0.054    853.934 
UVM2   58578.812773    18.44     0.08    1.118    0.070    427.798 
UVM2   58578.872685    18.33     0.05    1.241    0.047   1222.214 
UVM2   58578.940558    18.27     0.05    1.309    0.039   2336.186 
UVM2   58579.002865    18.27     0.05    1.309    0.044   1640.607 
UVM2   58579.059403    18.21     0.17    1.377    0.207     56.162 
UVM2   58579.081396    18.34     0.06    1.224    0.051    977.389 
UVM2   58579.126071    18.43     0.18    1.137    0.185     56.010 
UVM2   58579.148639    18.35     0.06    1.215    0.054    838.384 
UVM2   58579.193332    18.31     0.15    1.260    0.170     72.831 
UVM2   58579.211702    18.33     0.05    1.237    0.045   1410.649 
UVM2   58579.278453    18.33     0.06    1.238    0.052    949.927 
UVM2   58579.399948    18.39     0.12    1.177    0.123    128.722 
UVM2   58579.415863    18.37     0.07    1.195    0.062    582.081 
UVM2   58579.466619    18.16     0.11    1.444    0.137    127.961 
UVM2   58579.482416    18.39     0.07    1.171    0.063    560.863 
UVM2   58579.542343    18.36     0.05    1.210    0.042   1667.918 
UVM2   58579.602379    18.34     0.07    1.226    0.066    542.120 
UVM2   58579.617830    18.23     0.11    1.355    0.135    126.745 
UVM2   58579.669743    18.38     0.06    1.180    0.059    659.733 
UVM2   58579.736754    18.35     0.06    1.212    0.054    837.265 
UVM2   58579.804466    18.45     0.06    1.109    0.048   1013.788 
UVM2   58579.871129    18.39     0.05    1.178    0.042   1605.305 
UVM2   58579.943734    18.40     0.05    1.163    0.047   1185.619 
UVM2   58580.003315    18.39     0.05    1.176    0.037   2351.453 
UVM2   58580.075518    18.36     0.05    1.203    0.048   1094.589 
UVM2   58580.142522    18.45     0.05    1.110    0.044   1269.037 
UVM2   58580.211483    18.50     0.06    1.066    0.051    835.962 
UVM2   58580.269263    18.56     0.05    1.003    0.033   2307.160 
UVM2   58580.332584    18.52     0.05    1.043    0.037   1757.960 
UVM2   58582.125447    18.47     0.08    1.095    0.070    398.544 
UVM2   58585.247588    18.23     0.07    1.351    0.076    412.095 
UVM2   58588.033293    18.05     0.07    1.597    0.089    362.905 
UVM2   58591.363896    18.46     0.08    1.097    0.075    354.869 
UVM2   58594.745717    18.76     0.09    0.840    0.064    375.990 
UVM2   58597.199697    18.72     0.09    0.870    0.063    407.741 
UVM2   58597.730182    18.77     0.10    0.837    0.071    291.106 
UVM2   58599.329565    18.81     0.12    0.803    0.083    209.425 
UVM2   58601.775648    18.49     0.09    1.073    0.080    290.117 
UVM2   58609.017688    18.27     0.09    1.304    0.101    209.425 
UVM2   58611.539978    18.42     0.11    1.144    0.107    165.121 
UVM2   58617.717401    18.60     0.09    0.968    0.078    312.758 
UVM2   58620.307944    18.84     0.15    0.785    0.104    137.572 
UVM2   58621.299250    19.02     0.21    0.668    0.122     79.465 
UVM2   58621.965024    18.80     0.15    0.814    0.107    126.745 
UVM2   58623.233099    18.52     0.11    1.046    0.102    179.889 
UVM2   58626.950368    18.57     0.11    1.002    0.096    189.738 
UVM2   58629.813349    18.61     0.13    0.962    0.107    150.363 
UVM2   58629.877825    18.31     0.11    1.265    0.119    159.224 
UVM2   58632.987486    18.34     0.08    1.223    0.078    347.214 
UVM2   58635.711583    18.26     0.09    1.321    0.107    198.132 
UVM2   58638.029723    18.50     0.14    1.065    0.128    111.977 
UVM2   58638.162800    18.36     0.11    1.201    0.113    151.341 
UVM2   58643.549450    18.52     0.10    1.048    0.092    213.530 
UVM2   58650.843504    18.53     0.18    1.036    0.165     60.799 
UVM2   58651.327913    18.36     0.12    1.210    0.130    123.770 
UVM2   58651.515127    18.63     0.11    0.945    0.091    190.726 
UVM2   58653.433848    18.58     0.10    0.989    0.081    256.672 
UVM2   58653.506060    18.44     0.10    1.120    0.099    188.750 
UVM2   58658.683952    18.54     0.09    1.028    0.075    311.879 
UVM2   58662.079355    18.63     0.10    0.946    0.085    230.089 
UVM2   58663.069557    18.58     0.09    0.991    0.079    266.499 
UVM2   58666.196687    18.89     0.22    0.751    0.144     64.741 
UVM2   58666.778469    18.78     0.12    0.826    0.087    176.946 
UVM2   58667.441571    18.64     0.11    0.939    0.092    189.727 
UVM2   58668.844146    18.89     0.17    0.753    0.115     98.186 
UVM2   58669.916458    21.65     0.92    0.082    0.048    155.369 
UVM2   58670.898824    18.50     0.10    1.060    0.095    189.738 
UVM2   58672.235574    18.56     0.08    1.010    0.064    447.691 
UVM2   58673.486963    18.34     0.09    1.224    0.089    258.637 
UVM2   58675.028271    18.43     0.09    1.133    0.086    272.309 
UVM2   58676.012509    18.29     0.09    1.284    0.096    235.008 
UVM2   58678.478908    18.67     0.10    0.913    0.077    281.876 
UVM2   58678.875597    18.55     0.12    1.019    0.110    136.518 
UVM2   58679.202132    18.87     0.12    0.763    0.076    234.954 
UVM2   58681.274777    18.96     0.12    0.703    0.070    275.947 
UVM2   58681.404309    18.72     0.11    0.873    0.085    213.660 
UVM2   58682.190360    18.97     0.12    0.698    0.073    230.089 
UVM2   58684.067185    18.69     0.14    0.892    0.105    149.777 
UVM2   58684.191547    19.06     0.16    0.647    0.090    140.330 
UVM2   58690.767016    18.86     0.09    0.771    0.058    414.821 
UVM2   58691.627729    18.86     0.11    0.773    0.076    232.055 
UVM2   58693.547290    22.74     1.72    0.046    0.033    226.419 
UVM2   58696.683811    18.76     0.25    0.844    0.189     38.603 
UVM2   58696.731745    18.95     0.14    0.709    0.089    153.795 
UVM2   58697.465173    18.83     0.10    0.790    0.066    320.642 
UVM2   58699.532423    18.93     0.11    0.720    0.069    274.698 
UVM2   58699.728450    18.63     0.10    0.949    0.082    241.622 
UVM2   58700.925147    18.68     0.09    0.905    0.071    309.815 
UVM2   58702.646986    18.51     0.08    1.056    0.068    396.556 
UVM2   58702.704332    18.85     0.18    0.775    0.122     92.105 
UVM2   58703.978549    18.61     0.10    0.965    0.078    276.348 
UVM2   58705.569985    18.29     0.07    1.284    0.077    382.168 
UVM2   58706.620987    18.39     0.08    1.178    0.084    289.151 
UVM2   58708.554348    18.35     0.10    1.219    0.100    206.982 
UVM2   58709.416746    18.41     0.09    1.152    0.084    277.326 
UVM2   58711.017838    18.35     0.11    1.216    0.112    157.031 
UVM2   58712.011899    18.44     0.08    1.119    0.080    302.920 
UVM2   58716.264377    19.49     0.26    0.444    0.098     89.325 
UVM2   58716.588886    19.01     0.15    0.673    0.086    155.293 
UVM2   58721.174562    19.63     0.21    0.392    0.070    162.178 
UVM2   58730.004484    19.32     0.20    0.514    0.090    111.988 
UVM2   58732.798672    19.30     0.25    0.522    0.116     69.660 
UVM2   58733.002286    19.69     0.20    0.373    0.064    185.796 
UVM2   58733.262974    19.62     0.25    0.396    0.086     96.232 
UVM2   58740.503723    19.74     0.16    0.355    0.047    334.411 
UVM2   58745.482252    19.48     0.09    0.448    0.031    894.372 
UVM2   58750.328128    19.36     0.13    0.495    0.054    296.524 
UVM2   58750.996728    19.20     0.09    0.570    0.045    558.441 
UVM2   58807.221893    18.53     0.10    1.032    0.086    251.731 
UVM2   58975.534717    21.74     0.58    0.078    0.028    472.210 
UVW1   58383.694233    16.61     0.05    8.739    0.313    170.022 
UVW1   58383.753619    16.62     0.05    8.714    0.356    122.784 
UVW1   58389.945284    16.64     0.06    8.559    0.370    110.982 
UVW1   58393.117164    16.79     0.07    7.459    0.424     68.666 
UVW1   58395.454056    16.83     0.06    7.178    0.327    113.948 
UVW1   58395.855139    16.89     0.06    6.788    0.322    113.946 
UVW1   58395.920009    16.78     0.06    7.506    0.321    128.811 
UVW1   58395.989157    16.99     0.07    6.245    0.332     95.227 
UVW1   58396.247345    16.93     0.07    6.596    0.368     79.481 
UVW1   58397.842257    16.95     0.05    6.456    0.258    179.872 
UVW1   58397.980507    16.93     0.06    6.594    0.326    103.109 
UVW1   58398.976006    17.02     0.07    6.052    0.324     96.215 
UVW1   58399.639534    17.04     0.07    5.930    0.305    106.062 
UVW1   58399.706094    17.15     0.07    5.372    0.318     87.354 
UVW1   58399.772706    17.06     0.07    5.824    0.354     77.525 
UVW1   58399.838777    17.07     0.07    5.798    0.316     96.323 
UVW1   58401.082692    17.06     0.07    5.865    0.307    108.017 
UVW1   58401.150520    17.13     0.08    5.466    0.335     80.470 
UVW1   58401.347521    17.09     0.08    5.704    0.366     71.630 
UVW1   58403.746298    17.12     0.08    5.529    0.354     72.597 
UVW1   58404.472324    17.15     0.06    5.376    0.255    144.448 
UVW1   58404.602236    17.26     0.07    4.867    0.253    135.587 
UVW1   58404.672215    17.15     0.07    5.375    0.313     91.294 
UVW1   58406.131003    17.22     0.07    5.050    0.296    100.165 
UVW1   58408.452391    17.14     0.08    5.449    0.347     81.458 
UVW1   58409.985336    17.23     0.06    5.003    0.210    203.499 
UVW1   58412.372156    17.21     0.08    5.099    0.341     76.526 
UVW1   58413.900782    17.14     0.05    5.459    0.206    259.598 
UVW1   58415.960917    17.21     0.07    5.091    0.287    106.063 
UVW1   58416.166530    17.17     0.08    5.288    0.338     76.526 
UVW1   58417.361385    17.08     0.08    5.748    0.360     73.572 
UVW1   58417.828541    17.24     0.06    4.977    0.220    180.859 
UVW1   58417.886315    17.18     0.07    5.241    0.289    112.957 
UVW1   58418.631228    17.18     0.08    5.231    0.337     75.550 
UVW1   58420.152070    17.08     0.07    5.734    0.336     84.399 
UVW1   58421.814927    17.13     0.06    5.488    0.247    161.171 
