UVW1   58703.981789    18.42     0.08    1.767    0.115    264.436 
UVW1   58705.555058    18.49     0.09    1.674    0.112    263.567 
UVW1   58706.623877    18.53     0.10    1.611    0.130    192.832 
UVW1   58708.546682    18.31     0.11    1.943    0.171    130.687 
UVW1   58709.419986    18.55     0.09    1.595    0.109    263.828 
UVW1   58711.011563    18.34     0.12    1.903    0.182    107.058 
UVW1   58712.015554    18.48     0.08    1.680    0.106    309.088 
UVW1   58716.590765    19.02     0.15    1.077    0.122    155.196 
UVW1   58716.789488    18.87     0.12    1.221    0.113    192.680 
UVW1   58721.17633 19.12 0.18 
UVW1   58730.00538 19.16 0.35 
UVW1   58733.02272 19.50 0.14 
UVW1   58740.50774 19.63 0.16 
UVW1   58759.557599    18.84     0.06    1.252    0.055    953.260 
UVW1   58761.814746    18.75     0.06    1.343    0.058    918.935 
UVW1   58765.65255 18.37 0.06 
UVW1   58769.43751 18.22 0.05 
UVW1   58779.59764 18.13 0.06 
UVW1   58783.60711 18.32 0.05 
UVW1   58787.44792 18.35 0.06 
UVW1   58795.07092 18.65 0.07 
UVW1   58799.98191 19.06 0.13 
UVW1   58807.22442 18.92 0.14 
UVW1   58814.06288 19.31 0.09 
UVW1   58815.994350    19.24     0.08    0.908    0.049    962.849 
UVW1   58817.117766    19.22     0.08    0.923    0.054    877.639 
UVW1   58818.304932    19.52     0.10    0.734    0.049   1052.641 
UVW1   58819.438949    19.63     0.10    0.676    0.044   1054.584 
UVW1   58822.90008 19.66 0.11 
UVW1   58825.42266 19.98 0.14 
UVW1   58828.33457 19.93 0.15 
UVW1   58831.12893 19.97 0.15 
UVW1   58834.45420 19.57 0.11 
UVW1   58838.63490 19.28 0.09 
UVW1   58841.08802 19.04 0.08 
UVW1   58844.67459 19.08 0.08 
UVW1   58847.53106 18.66 0.07 
UVW1   58851.11056 18.45 0.06 
UVW1   58856.72363 18.65 0.07 
