month,theta_gradient_med,theta_gradient_iqr,rh_850_med,height_diff_med,soundings
1979-10,11.575743685664975,1.5480341027368922,63.0,2231.0,5
1980-01,16.285391713360212,1.4578890290947868,21.0,2222.0,2
1980-02,13.947070849874535,0.0,77.0,2131.0,1
1980-03,23.0020113684821,6.902534014833293,39.0,2145.5,2
1980-04,11.782754249195705,0.0,96.0,2282.0,1
1980-05,8.094876132819365,2.3468545771700633,80.5,2341.5,2
1980-06,5.3201053155327145,0.0,81.0,2369.0,1
1980-07,9.641324078399634,0.0,70.0,2359.0,1
1980-08,7.987731654777633,0.6043724010373808,69.0,2360.0,5
1980-09,13.625764182867442,0.0,60.0,2351.0,1
1980-10,11.041607452613022,3.222527940091055,66.0,2287.5,2
1980-11,21.771372644599808,0.0,93.0,2217.0,1
1981-01,16.73123184298285,1.5691349459660557,88.0,2171.0,4
1981-03,10.477977347995449,2.6756931709661274,71.5,2221.0,2
1981-04,16.954512115893863,0.0,92.0,2298.0,1
1981-05,8.260618773817896,0.0,54.0,2335.0,1
1981-06,11.445644754771337,0.8697863374377732,60.0,2364.5,2
1981-07,10.51692941835168,0.7929334489498103,72.0,2353.0,2
1981-08,14.773662992778469,0.3279141086897255,70.0,2328.0,2
1981-09,10.443054054089885,0.0,60.0,2298.0,1
1981-10,13.640846594085275,9.435731182783385,39.0,2277.5,4
1981-11,21.375995823243898,0.0,91.0,2248.0,1
1982-01,20.634586213605075,2.604265065408242,87.5,2202.0,4
1982-02,19.458711666316134,8.946044465396696,82.5,2221.0,4
1982-03,18.39910895983445,0.0,98.0,2203.0,1
1982-04,15.898947464682692,0.0,92.0,2113.0,1
1982-11,15.753571332484057,0.0,87.0,2286.0,1
1982-12,12.565567827304505,0.0,73.0,2304.0,1
1983-01,11.479312727545448,0.0,75.0,2225.0,1
1983-02,13.132574315142307,5.282142682022226,56.5,2231.0,2
1983-03,19.03178793427486,2.188653141780435,35.5,2233.0,2
1983-05,10.184850487273252,3.418990401712108,82.5,2315.0,4
1983-06,7.076609371838742,0.0,63.0,2329.0,1
1983-09,15.25693705856969,4.8555497860060655,42.0,2306.0,2
1983-10,10.150588865418001,3.1354871577931647,65.0,2314.0,3
1983-11,12.166357019585035,0.2820144818058168,79.5,2278.5,2
1983-12,18.761148644441448,0.0,63.0,2276.0,1
1984-01,18.49236760364073,4.710971371795722,61.0,2159.0,3
1984-02,14.425314352319873,0.7140955443111068,72.5,2250.5,2
1984-03,15.832078401097704,3.545216695347733,86.5,2250.5,2
1984-06,16.133204070571992,0.0,93.0,2339.0,1
1984-07,8.065246215315767,0.0,68.0,2338.0,1
1984-08,8.625966818676204,0.0,86.0,2363.0,1
1984-09,14.312944520845065,2.129986955854548,96.0,2327.0,3
1984-10,16.850938811159494,0.0,97.0,2314.0,1
1984-11,20.21672182136041,1.3904943393975486,19.0,2290.0,3
1985-01,14.730546100033678,0.0,33.0,2151.0,1
1985-05,15.181407514182297,0.8599973026219345,90.5,2291.5,2
1985-06,7.92847181977055,0.0,72.0,2332.0,1
1985-07,8.406520532128752,3.062273465581626,63.0,2339.0,3
1985-08,11.805504633140515,0.0,55.0,2331.0,1
1985-09,7.876354331378252,0.0,94.0,2372.0,1
1985-10,21.62282419808804,0.0,100.0,2276.0,1
1985-12,18.50268226456876,0.0,38.0,2179.0,1
1986-01,8.5443554587184,0.10846782214221662,83.5,2234.5,2
1986-02,13.945747505774023,3.9688320671377255,30.0,2136.0,5
1986-04,10.28716847087611,3.05539393202298,97.0,2227.0,2
1986-05,13.707910447757456,0.0,89.0,2255.0,1
1986-06,19.31565138629344,0.4230217227087678,69.0,2315.0,2
1986-07,11.581426642241297,0.0,62.0,2356.0,1
1986-08,10.842926533859554,0.0,88.0,2333.0,1
1986-11,17.86695774293321,0.0,95.0,2264.0,1
1986-12,22.428524206079715,0.0,22.0,2218.0,1
1987-01,23.740180640838616,5.879635549500932,89.0,2208.0,3
1987-02,11.950219093288808,0.0,19.0,2191.0,1
1987-03,12.746655692577008,0.0,67.0,2249.0,1
1987-05,11.337244955598123,0.0,71.0,2329.0,1
1987-06,11.932489993869922,0.0,81.0,2349.0,1
1987-07,8.650702218771869,0.0,67.0,2360.0,1
1987-08,13.47470509409257,3.0485824214333377,82.0,2325.0,2
1987-09,6.6546481801744335,0.0,94.0,2278.0,1
