Frage	Frage-Text	Variablenname	Items	Itemlabels	Werte	Wertelabels
""	""	""		""	5.0	"[weiß nicht / keine Angabe]"
"f11"	"Haben Sie schon mal erlebt, dass schlecht oder abfällig über Juden gesprochen wurde? Wenn ja, wo war das?"	"Schlecht über Juden gesprochen"	1.0	"Im Familienkreis"	1.0	"Ja"
""	""	""	2.0	"Unter Freunden oder Bekannten"	0.0	"Nein"
""	""	""	3.0	"In Sportvereinen"		""
""	""	""	4.0	"In der Schule"		""
""	""	""	5.0	"Auf Festen oder Veranstaltungen"		""
""	""	""	6.0	"Auf Demonstrationen"		""
""	""	""	7.0	"In traditionellen Medien, wie Zeitung oder Fernsehen"		""
""	""	""	8.0	"In sozialen Medien"		""
""	""	""	9.0	"In religiösen Einrichtungen"		""
""	""	""	10.0	"Anderes [notieren:]"		""
""	""	""	11.0	"nichts davon"		""
"f15"	"Haben Sie in Ihrer Schulzeit im Rahmen des Unterrichts..."	"Im Schulunterricht:"	1.0	"über den Holocaust und die Verbrechen in der Nazi Zeit gesprochen"	1.0	"Ja"
""	""	""	2.0	"über Antisemitismus gesprochen"	0.0	"Nein"
""	""	""	3.0	"eine Gedenkstätte besucht, z.B. die Gedenkstätte des KZ Mauthausen"		""
""	""	""	4.0	"ein Gespräch mit ZeitzeugInnen geführt oder ein Video dazu gesehen"		""
""	""	""	5.0	"über das jüdische Leben heutzutage gesprochen"		""
""	""	""	6.0	"über den Nahostkonflikt gesprochen"		""
""	""	""	7.0	"etwas anderes zum Thema Antisemitismus und jüdisches Leben gemacht, nämlich:"		""
""	""	""	8.0	"nichts davon"		""
"f17"	"Wie viele Juden wurden während des Holocaust ermordet?"	"Anzahl ermordeter Juden"		""	1.0	"bis zu 25 000"
""	""	""		""	2.0	"bis zu 100 000"
""	""	""		""	3.0	"bis zu 1 Mio."
""	""	""		""	4.0	"bis zu 2 Mio."
""	""	""		""	5.0	"bis zu 6 Mio."
""	""	""		""	6.0	"bis zu 20 Mio."
""	""	""		""	7.0	"[weiß nicht / keine Angabe]"
"f18"	"Wissen Sie, wie das jüdische Fest zur Osterzeit heißt?"	"Jüdisches Fest Osterzeit"		""	1.0	"Pessach"
""	""	""		""	2.0	"Channukka"
""	""	""		""	3.0	"Diwali"
""	""	""		""	4.0	"Bar Mizwa"
""	""	""		""	5.0	"Ashura"
""	""	""		""	6.0	"[weiß nicht / keine Angabe]"
"f19"	"Wie groß ist die Fläche von Israel Ihrer Einschätzung nach? Etwa so groß wie...."	"Fläche Israels"		""	1.0	"Vorarlberg"
""	""	""		""	2.0	"Niederösterreich"
""	""	""		""	3.0	"Österreich"
""	""	""		""	4.0	"Deutschland"
""	""	""		""	5.0	"China"
"f20"	"Und wie sehr treffen die folgenden Aussagen, die man in der öffentlichen Debatte immer wieder hört, Ihrer Meinung nach zu? Voll und ganz, eher schon, eher nicht oder überhaupt nicht?"	"Aussagen"	1.0	"Die US-Amerikaner sind daran Schuld, dass wir so viele Weltkonflikte haben"	1.0	"voll und ganz"
""	""	""	2.0	"Das westliche Machtstreben, also der Imperialismus, ist die eigentliche Gefahr für den Weltfrieden."	2.0	"eher schon"
""	""	""		""	3.0	"eher nicht"
""	""	""		""	4.0	"überhaupt nicht"
""	""	""		""	5.0	"[weiß nicht / keine Angabe]"
"neu4"	"Am 9. Juni fanden die Europawahlen statt. Was trifft auf Sie zu?"	"Teilnahme Europawahlen"		""	1.0	"Ich war nicht wahlberechtigt bei der Europa-Wahl"
""	""	""		""	2.0	"Ich habe nicht an der Europa-Wahl teilgenommen"
""	""	""		""	3.0	"Ich gehe normalerweise schon wählen, diesmal aber nicht"
""	""	""		""	4.0	"Ich wollte an der Europa-Wahl teilnehmen, es ist mir aber etwas dazwischen gekommen"
""	""	""		""	5.0	"Ich habe an der Europa-Wahl teilgenommen"
""	""	""		""	6.0	"[weiß nicht / keine Angabe]"
"neu5"	"Und welche politische Partei haben Sie bei der Europa-Wahl am 9. Juni gewählt?"	"Partei Europawahl"		""	1.0	"ÖVP"
""	""	""		""	2.0	"SPÖ"
""	""	""		""	3.0	"FPÖ"
""	""	""		""	4.0	"GRÜNE"
""	""	""		""	5.0	"NEOS"
""	""	""		""	6.0	"KPÖ (Plus)"
""	""	""		""	7.0	"DNA"
""	""	""		""	8.0	"[ungültig]"
""	""	""		""	9.0	"[war nicht wählen]"
""	""	""		""	10.0	"[weiß nicht / keine Angabe]"
"f21"	"Geschlecht"	"Geschlecht"		""	1.0	"männlich"
""	""	""		""	2.0	"weiblich"
"f22_kat"	"Wie alt sind Sie?"	"Alter"		""	17.0	"16 und 17 Jahre"
""	""	""		""	18.0	"18 Jahre"
""	""	""		""	19.0	"19 Jahre"
""	""	""		""	20.0	"20 Jahre"
""	""	""		""	21.0	"21 Jahre"
""	""	""		""	22.0	"22 Jahre"
""	""	""		""	23.0	"23 Jahre"
""	""	""		""	24.0	"24 Jahre"
""	""	""		""	25.0	"25 Jahre"
""	""	""		""	26.0	"26 Jahre"
""	""	""		""	27.0	"27 Jahre"
"f23"	"Welche höchste abgeschlossene Schulbildung haben Sie?"	"Schulbildung"		""	1.0	"Pflichtschule"
""	""	""		""	2.0	"Lehre"
""	""	""		""	3.0	"Fachschule ohne Matura"
""	""	""		""	4.0	"AHS- / BHS- Matura"
""	""	""		""	5.0	"Universität / Akademie / Fachhochschule"
""	""	""		""	6.0	"Anderes"
"f24"	"Sind Sie...?"	"Berufstätigkeit"		""	1.0	"berufstätig"
""	""	""		""	2.0	"arbeitslos"
""	""	""		""	3.0	"in Karenz"
""	""	""		""	4.0	"Lehrling"
""	""	""		""	5.0	"in Pension"
""	""	""		""	6.0	"in Ausbildung"
""	""	""		""	7.0	"zu Hause"
""	""	""		""	8.0	"Sonstiges"
"f24a"	"Besuchen Sie derzeit eine oder mehrere der folgenden Ausbildungen?"	"derzeitige Ausbildungen"	1.0	"Berufsschule und Lehre"	1.0	"Ja"
""	""	""	5.0	"Berufsbildende höhere Schule (HTL, HAK, HBLA, HLW, BAPäd)"	0.0	"Nein"
""	""	""	7.0	"Universität / Akademie / Fachhochschule"		""
""	""	""	8.0	"Sonstiges"		""
""	""	""	9.0	"Nein, nichts davon"		""
"f25"	"Sind Sie...?"	"Tätigkeit"		""	1.0	"Arbeiter/in"
""	""	""		""	2.0	"Angestellte/r"
""	""	""		""	3.0	"Im öffentlichen Dienst"
""	""	""		""	4.0	"selbständig, freiberuflich, Ein-Personenunternehmen"
""	""	""		""	5.0	"In der Landwirtschaft"
""	""	""		""	6.0	"sonstiges"
"f26"	"Gehören Sie einer Religionsgemeinschaft an?"	"Mitglied Religionsgemeinschaft "		""	1.0	"ja"
""	""	""		""	2.0	"nein"
""	""	""		""	3.0	"[weiß nicht / keine Angabe]"
"f27"	"Welcher Religionsgemeinschaft gehören Sie an?"	"Welche Religionsgemeinschaft"		""	1.0	"Römisch-Katholische Kirche"
""	""	""		""	2.0	"Evangelische Kirche"
""	""	""		""	3.0	"Islam / muslimisch"
""	""	""		""	4.0	"Christlich-Orthodoxe Kirche"
""	""	""		""	5.0	"Judentum / mosaisch"
""	""	""		""	6.0	"anderes"
""	""	""		""	7.0	"[weiß nicht / keine Angabe]"
"f28"	"Würden Sie von sich sagen, dass Sie überhaupt nicht religiös, nicht sehr religiös, eher religiös oder sehr religiös sind?"	"Religiösität"		""	1.0	"überhaupt nicht religiös"
""	""	""		""	2.0	"eher nicht religiös"
""	""	""		""	3.0	"eher religiös"
""	""	""		""	4.0	"sehr religiös"
""	""	""		""	5.0	"[weiß nicht / keine Angabe]"
"neu6"	"Sind Sie..."	"Staatsbürgerschaft"		""	1.0	"österreichische:r Staatsbürger:in"
""	""	""		""	2.0	"Staatsbürger:in eines EU / EWR-Landes"
""	""	""		""	3.0	"Staatsbürger:in eines anderen Landes"
""	""	""		""	4.0	"[weiß nicht / keine Angabe]"
"neu7"	"Sind Sie oder Ihre Eltern bzw. Großeltern in einem anderen Land als Österreich geboren?"	"Eltern / Großeltern im Ausland geboren"	1.0	"Ja, ich selbst bin nicht in Österreich geboren"	1.0	"Ja"
""	""	""	2.0	"Ja, beide Elternteile"	0.0	"Nein"
""	""	""	3.0	"Ja, ein oder beide Großelternpaar(e)"		""
""	""	""	4.0	"Nein"		""
"f31"	"Bundesland"	"Bundesland"		""	2.0	"Tirol"
""	""	""		""	3.0	"Salzburg"
""	""	""		""	4.0	"Oberösterreich"
""	""	""		""	5.0	"Kärnten"
""	""	""		""	6.0	"Steiermark"
""	""	""		""	8.0	"Niederösterreich"
""	""	""		""	9.0	"Wien"
""	""	""		""	10.0	"sonstige"
"f33"	"Wie viele Einwohner hat die Gemeinde in der Sie wohnen?"	"Einwohner Gemeinde"		""	1.0	"bis 1.000 Einwohner"
""	""	""		""	2.0	"bis 2.000 Einwohner"
""	""	""		""	3.0	"2.001 bis 3.000 Einwohner"
""	""	""		""	4.0	"3.001 bis 5.000 Einwohner"
""	""	""		""	5.0	"5.001 bis 10.000 Einwohner"
""	""	""		""	6.0	"10.001 bis 20.000 Einwohner"
""	""	""		""	7.0	"20.001 bis 50.000 Einwohner"
""	""	""		""	8.0	"50.001 bis 1 Million Einwohner"
""	""	""		""	9.0	"über 1 Million Einwohner"
""	""	""		""	10.0	"[weiß nicht / keine Angabe]"
"weight"	"Gewichtungsvariable"	"Gewichtungsvariable"		""		""
